17:53:30.745 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:31.838 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:33.784 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:34.887 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:36.544 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:38.755 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:39.854 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:40.951 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:43.407 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:44.540 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:45.663 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:47.437 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
