16:27:41.672 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:27:45.286 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:28:11.101 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:28:30.932 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:28:42.136 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:29:02.041 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:29:18.795 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:29:37.049 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:29:40.748 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:30:51.112 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:30:57.098 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:32:21.287 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:32:24.506 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:32:35.794 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:33:07.790 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:33:12.250 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:33:55.007 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:34:01.359 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:34:20.937 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:35:28.416 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:35:30.857 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:35:43.600 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:36:02.092 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:36:57.335 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
16:37:58.879 [INFO] (formula_mdp.py:231) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
